day,date,time,spf
Monday,11/7/2021,12:00 AM,0
Monday,11/7/2021,1:00 AM,0
Monday,11/7/2021,2:00 AM,0
Monday,11/7/2021,3:00 AM,0
Monday,11/7/2021,4:00 AM,0
Monday,11/7/2021,5:00 AM,0
Monday,11/7/2021,6:00 AM,0
Monday,11/7/2021,7:00 AM,0
Monday,11/7/2021,8:00 AM,0
Monday,11/7/2021,9:00 AM,0
Monday,11/7/2021,10:00 AM,0
Monday,11/7/2021,11:00 AM,0
Monday,11/7/2021,12:00 PM,0
Monday,11/7/2021,1:00 PM,0
Monday,11/7/2021,2:00 PM,0
Monday,11/7/2021,3:00 PM,0
Monday,11/7/2021,4:00 PM,0
Monday,11/7/2021,5:00 PM,0
Monday,11/7/2021,6:00 PM,0
Monday,11/7/2021,7:00 PM,0
Monday,11/7/2021,8:00 PM,0
Monday,11/7/2021,9:00 PM,0
Monday,11/7/2021,10:00 PM,0
Monday,11/7/2021,11:00 PM,0
Tuesday,11/8/2021,12:00 AM,0
Tuesday,11/8/2021,1:00 AM,0
Tuesday,11/8/2021,2:00 AM,0
Tuesday,11/8/2021,3:00 AM,0
Tuesday,11/8/2021,4:00 AM,0
Tuesday,11/8/2021,5:00 AM,0
Tuesday,11/8/2021,6:00 AM,0
Tuesday,11/8/2021,7:00 AM,0
Tuesday,11/8/2021,8:00 AM,0
Tuesday,11/8/2021,9:00 AM,1
Tuesday,11/8/2021,10:00 AM,0
Tuesday,11/8/2021,11:00 AM,0
Tuesday,11/8/2021,12:00 PM,0
Tuesday,11/8/2021,1:00 PM,0
Tuesday,11/8/2021,2:00 PM,0
Tuesday,11/8/2021,3:00 PM,0
Tuesday,11/8/2021,4:00 PM,0
Tuesday,11/8/2021,5:00 PM,0
Tuesday,11/8/2021,6:00 PM,0
Tuesday,11/8/2021,7:00 PM,0
Tuesday,11/8/2021,8:00 PM,0
Tuesday,11/8/2021,9:00 PM,0
Tuesday,11/8/2021,10:00 PM,0
Tuesday,11/8/2021,11:00 PM,0
Wednesday,11/9/2021,12:00 AM,0
Wednesday,11/9/2021,1:00 AM,0
Wednesday,11/9/2021,2:00 AM,0
Wednesday,11/9/2021,3:00 AM,0
Wednesday,11/9/2021,4:00 AM,0
Wednesday,11/9/2021,5:00 AM,0
Wednesday,11/9/2021,6:00 AM,0
Wednesday,11/9/2021,7:00 AM,0
Wednesday,11/9/2021,8:00 AM,0
Wednesday,11/9/2021,9:00 AM,0
Wednesday,11/9/2021,10:00 AM,1
Wednesday,11/9/2021,11:00 AM,0
Wednesday,11/9/2021,12:00 PM,0
Wednesday,11/9/2021,1:00 PM,1
Wednesday,11/9/2021,2:00 PM,0
Wednesday,11/9/2021,3:00 PM,0
Wednesday,11/9/2021,4:00 PM,1
Wednesday,11/9/2021,5:00 PM,0
